date,dax
2013-04-08,7662.64
2013-04-09,7637.51
2013-04-10,7810.63
2013-04-11,7871.63
2013-04-12,7744.77
2013-04-15,7712.63
2013-04-16,7682.58
2013-04-17,7503.03
2013-04-18,7473.73
2013-04-19,7459.96
2013-04-22,7478.11
2013-04-23,7658.21
2013-04-24,7759.03
2013-04-25,7832.86
2013-04-26,7814.76
2013-04-29,7873.5
2013-04-30,7913.71
2013-05-01,7913.71
2013-05-02,7961.71
2013-05-03,8122.29
2013-05-06,8112.08
2013-05-07,8181.78
2013-05-08,8249.71
2013-05-09,8262.55
2013-05-10,8278.59
2013-05-13,8279.29
2013-05-14,8339.11
2013-05-15,8362.42
2013-05-16,8369.87
2013-05-17,8398.0
2013-05-20,8455.83
2013-05-21,8472.2
2013-05-22,8530.89
2013-05-23,8351.98
2013-05-24,8305.32
2013-05-27,8383.3
2013-05-28,8480.87
2013-05-29,8336.58
2013-05-30,8400.2
2013-05-31,8348.84
2013-06-03,8285.8
2013-06-04,8295.96
2013-06-05,8196.18
2013-06-06,8098.81
2013-06-07,8254.68
2013-06-10,8307.69
2013-06-11,8222.46
2013-06-12,8143.27
2013-06-13,8095.39
2013-06-14,8127.96
2013-06-17,8215.73
2013-06-18,8229.51
2013-06-19,8197.08
2013-06-20,7928.48
2013-06-21,7789.24
2013-06-24,7692.45
2013-06-25,7811.3
2013-06-26,7940.99
2013-06-27,7990.75
2013-06-28,7959.22
2013-07-01,7983.92
2013-07-02,7910.77
2013-07-03,7829.32
2013-07-04,7994.31
2013-07-05,7806.0
2013-07-08,7968.54
2013-07-09,8057.75
2013-07-10,8066.48
2013-07-11,8158.8
2013-07-12,8212.77
2013-07-15,8234.81
2013-07-16,8201.05
2013-07-17,8254.72
2013-07-18,8337.09
2013-07-19,8331.57
2013-07-22,8331.06
2013-07-23,8314.23
2013-07-24,8379.11
2013-07-25,8298.98
2013-07-26,8244.91
2013-07-29,8259.03
2013-07-30,8271.02
2013-07-31,8275.97
2013-08-01,8410.73
2013-08-02,8406.94
2013-08-05,8398.38
2013-08-06,8299.73
2013-08-07,8260.48
2013-08-08,8318.32
2013-08-09,8338.31
2013-08-12,8359.25
2013-08-13,8415.76
2013-08-14,8438.12
2013-08-15,8376.29
2013-08-16,8391.94
2013-08-19,8366.29
2013-08-20,8300.03
2013-08-21,8285.41
2013-08-22,8397.89
2013-08-23,8416.99
2013-08-26,8435.15
2013-08-27,8242.56
2013-08-28,8157.9
2013-08-29,8194.55
2013-08-30,8103.15
2013-09-02,8243.87
2013-09-03,8180.71
2013-09-04,8195.92
2013-09-05,8234.98
2013-09-06,8275.67
2013-09-09,8276.32
2013-09-10,8446.54
2013-09-11,8495.73
2013-09-12,8494.0
